Intersection ID,Timestamp,Signal Status,Vehicle Count,Pedestrian Count,Camera Status,Comments
INT001,2023-01-01 06:00:00,Green,8,14,Malfunctioning,
INT004,2023-01-01 06:05:00,Yellow,44,16,Malfunctioning,Data corrupted - exclude
INT002,2023-01-01 06:10:00,Red,22,13,Malfunctioning,
INT004,2023-01-01 06:15:00,Yellow,40,8,Malfunctioning,
INT004,2023-01-01 06:20:00,Red,12,17,Malfunctioning,"Camera offline, data may be inaccurate"
INT002,2023-01-01 06:25:00,Red,31,10,Active,Sensor glitch detected
INT002,2023-01-01 06:30:00,Yellow,41,9,Malfunctioning,Data corrupted - exclude
INT004,2023-01-01 06:35:00,Yellow,5,15,Inactive,Duplicate entry - verify
INT004,2023-01-01 06:40:00,Yellow,26,8,Inactive,
INT001,2023-01-01 06:45:00,Red,36,17,Inactive,Sensor glitch detected
INT003,2023-01-01 06:50:00,Yellow,6,2,Active,
INT003,2023-01-01 06:55:00,Green,9,5,Malfunctioning,
INT004,2023-01-01 07:00:00,Yellow,2,11,Inactive,
INT002,2023-01-01 07:05:00,Yellow,16,4,Active,
INT002,2023-01-01 07:10:00,Red,10,15,Malfunctioning,Pedestrian count unusually high due to event
INT004,2023-01-01 07:15:00,Yellow,11,8,Active,
INT003,2023-01-01 07:20:00,Red,42,12,Malfunctioning,Check timestamp anomaly
INT001,2023-01-01 07:25:00,Red,27,18,Malfunctioning,"Camera offline, data may be inaccurate"
INT004,2023-01-01 07:30:00,Red,14,12,Inactive,
INT002,2023-01-01 07:35:00,Green,25,2,Inactive,Pedestrian count unusually high due to event
INT004,2023-01-01 07:40:00,Green,20,10,Inactive,
INT004,2023-01-01 07:45:00,Green,0,9,Active,Ignore this row for analysis
INT004,2023-01-01 07:50:00,Yellow,35,18,Inactive,Manual override in effect
INT002,2023-01-01 07:55:00,Green,13,16,Active,Sensor glitch detected
INT003,2023-01-01 08:00:00,Green,42,15,Inactive,
INT004,2023-01-01 08:05:00,Yellow,2,15,Inactive,
INT004,2023-01-01 08:10:00,Yellow,19,11,Active,Sensor glitch detected
INT002,2023-01-01 08:15:00,Red,41,10,Active,"Signal stuck on red, vehicle count unreliable"
INT001,2023-01-01 08:20:00,Red,18,17,Malfunctioning,Duplicate entry - verify
INT002,2023-01-01 08:25:00,Yellow,1,17,Inactive,Unusual traffic pattern due to detour
INT001,2023-01-01 08:30:00,Yellow,50,7,Malfunctioning,Data corrupted - exclude
INT001,2023-01-01 08:35:00,Yellow,49,1,Active,Data corrupted - exclude
INT002,2023-01-01 08:40:00,Red,22,8,Inactive,Pedestrian count unusually high due to event
INT002,2023-01-01 08:45:00,Red,10,4,Active,Manual override in effect
INT001,2023-01-01 08:50:00,Red,39,11,Malfunctioning,Pedestrian count unusually high due to event
INT002,2023-01-01 08:55:00,Yellow,22,16,Active,"Signal stuck on red, vehicle count unreliable"
INT001,2023-01-01 09:00:00,Red,34,13,Active,Unusual traffic pattern due to detour
INT004,2023-01-01 09:05:00,Red,35,4,Active,
INT002,2023-01-01 09:10:00,Green,16,18,Active,
INT004,2023-01-01 09:15:00,Yellow,16,18,Inactive,
INT003,2023-01-01 09:20:00,Red,16,13,Active,Duplicate entry - verify
INT001,2023-01-01 09:25:00,Green,47,12,Active,
INT002,2023-01-01 09:30:00,Red,38,0,Active,
INT001,2023-01-01 09:35:00,Red,23,12,Malfunctioning,
INT002,2023-01-01 09:40:00,Red,31,7,Malfunctioning,
INT003,2023-01-01 09:45:00,Yellow,29,14,Active,Data corrupted - exclude
INT004,2023-01-01 09:50:00,Yellow,20,14,Malfunctioning,
INT001,2023-01-01 09:55:00,Red,29,10,Active,"Signal stuck on red, vehicle count unreliable"
INT003,2023-01-01 10:00:00,Green,17,12,Inactive,
INT002,2023-01-01 10:05:00,Red,23,9,Active,Manual override in effect
INT001,2023-01-01 10:10:00,Red,27,10,Active,Ignore this row for analysis
INT001,2023-01-01 10:15:00,Red,26,0,Inactive,Check timestamp anomaly
INT004,2023-01-01 10:20:00,Yellow,45,3,Malfunctioning,
INT002,2023-01-01 10:25:00,Red,22,17,Active,Check timestamp anomaly
INT004,2023-01-01 10:30:00,Red,15,17,Active,Data corrupted - exclude
INT004,2023-01-01 10:35:00,Red,0,9,Active,Check timestamp anomaly
INT004,2023-01-01 10:40:00,Red,27,8,Inactive,"Camera offline, data may be inaccurate"
INT004,2023-01-01 10:45:00,Yellow,29,6,Inactive,Pedestrian count unusually high due to event
INT004,2023-01-01 10:50:00,Green,3,8,Inactive,
INT003,2023-01-01 10:55:00,Yellow,38,11,Malfunctioning,Manual override in effect
INT003,2023-01-01 11:00:00,Red,15,5,Active,
INT004,2023-01-01 11:05:00,Red,15,8,Active,
INT003,2023-01-01 11:10:00,Green,13,1,Malfunctioning,Data corrupted - exclude
INT003,2023-01-01 11:15:00,Red,0,15,Active,
INT002,2023-01-01 11:20:00,Red,7,0,Malfunctioning,
INT002,2023-01-01 11:25:00,Green,45,4,Malfunctioning,Data corrupted - exclude
INT001,2023-01-01 11:30:00,Yellow,47,14,Malfunctioning,
INT002,2023-01-01 11:35:00,Red,45,16,Active,Ignore this row for analysis
INT001,2023-01-01 11:40:00,Red,40,2,Inactive,Duplicate entry - verify
INT003,2023-01-01 11:45:00,Red,18,16,Active,Manual override in effect
INT004,2023-01-01 11:50:00,Green,12,12,Active,"Signal stuck on red, vehicle count unreliable"
INT004,2023-01-01 11:55:00,Green,4,20,Inactive,Duplicate entry - verify
INT004,2023-01-01 12:00:00,Yellow,17,10,Inactive,
INT002,2023-01-01 12:05:00,Red,39,17,Inactive,Check timestamp anomaly
INT003,2023-01-01 12:10:00,Red,42,2,Active,Data corrupted - exclude
INT002,2023-01-01 12:15:00,Yellow,10,1,Malfunctioning,Data corrupted - exclude
INT003,2023-01-01 12:20:00,Red,31,8,Inactive,
INT003,2023-01-01 12:25:00,Green,12,16,Malfunctioning,Check timestamp anomaly
INT001,2023-01-01 12:30:00,Green,0,2,Inactive,
INT003,2023-01-01 12:35:00,Yellow,19,15,Active,Unusual traffic pattern due to detour
INT002,2023-01-01 12:40:00,Red,45,7,Malfunctioning,Ignore this row for analysis
INT004,2023-01-01 12:45:00,Red,35,12,Active,"Camera offline, data may be inaccurate"
INT001,2023-01-01 12:50:00,Red,45,4,Active,Duplicate entry - verify
INT003,2023-01-01 12:55:00,Red,11,20,Active,Data corrupted - exclude
INT004,2023-01-01 13:00:00,Green,9,2,Inactive,
